,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
1209,x Magnolia St,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1210,x Magnolia St (RDP),Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1211,x Mallon Road,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1215,x Marion St,East Boston,02128,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1222,x Maverick St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1223,x Maywood Street,Roxbury,02119,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
1226,x Metropolitan Ave,Hyde Park,02136,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
1228,x Minden St,Jamaica Plain,02130,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1229,x Minden Street,Jamaica Plain,02130,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1231,x Monsignor Way,Dorchester,02124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
1232,x Morris Street (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1233,x Morse Street,Dorchester,02121,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
1234,x Mount Everett NHI,Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1237,x Mt. Pleasant Avenue,Roxbury,02119,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
1238,x Murray Ave,Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1239,x Murray Ave (1-4),Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1244,x Nelson Street,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1247,x Nightingale Street,Dorchester,02124,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1248,x Norfolk Street (RDP),Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1249,x North Ave/YouthBuild,Roxbury,02119,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
1250,x Northampton Apts,Roxbury,02118,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
1258,x Page St (James VUP),Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1260,x Park St,Dorchester,02122,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1264,x Peacevale Rd,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1269,x Prescott Street,East Boston,02128,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1271,x Princeton St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1274,x Putnam St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1275,x Quincy St (REO),Roxbury,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1276,x Quincy Street,Dorchester,02122,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
1278,x Ridgewood St. (REO),Dorchester,02122,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1279,x Rill St (BuildHome),Dorchester,02125,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,
1282,x River Street,Mattapan,02126,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1290,x Saratoga St,East Boston,02128,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1291,x Saratoga St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1293,x Savin Street,Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1294,x Schuyler St (BuildHome),Roxbury,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1295,x Seaver Street,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1297,x Selden St (BuildHome),Dorchester,02124,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,
1300,x Southern Ave (Johnson VUP),Dorchester,02124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
1301,x Spencer St (RDP),Dorchester,02124,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1302,x Spencer Street,Dorchester,02124,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
1305,x St Andrew Rd (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1306,x St. Andrew Rd (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1310,x Stoughton Neighborhood Homes,Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1311,x Stratton Street,Dorchester,02124,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1320,x Talbot Ave (REO),Dorchester,02124,4,3,1,0.0,0.0,0.0,4,3,1.0,Ownership/Rental,Private,,
1321,x Talbot Avenue,Dorchester,02124,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,
1323,x Toledo Terrace,Dorchester,02122,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1324,x Tonawanda St (Johnson VUP),Dorchester,02124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
1325,x Topliff St (REO),Dorchester,02122,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
1326,x Tremlett Street,Dorchester,02124,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,
1327,x Tremont,South End,02118,4,4,0,3.0,3.0,0.0,1,1,0.0,Rental,Private,,
1328,x Tremont St,South End,02118,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,
1337,x W Park St (AOP),Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1339,x W Second St,South Boston,02127,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1340,x Walk Hill St (Johnson VUP),Mattapan,02126,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
1344,x Warren Street (1-4),Roxbury,02119,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1345,x Warren Supportive Housing Phase 1 - Acquisition,Roxbury,02121,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,
1352,x Washington St Lodging,Dorchester,02124,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,
1355,x Waverly Street,Roxbury,02119,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
1356,x Wayland St. Dorchester - COB,Roxbury,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1357,"x Wellesley Park, #1",Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
1358,x Wenhan St (RDP),Jamaica Plain,02130,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1359,x Wentworth St (BuildHome),Dorchester,02124,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,
1368,x Westminster (AOP),Hyde Park,02136,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
1369,x Westmore Rd (BuildHome),Mattapan,02126,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,
1370,x Wheatland Avenue,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
